threshold,accuracy,balanced_accuracy,f1,auc,tp,tn,fp,fn,model,threshold_strategy,holdout_gen
0.6492333485883727,0.8885991058122206,0.886358898237948,0.876904075751338,0.949560668351165,1065,1320,69,230,bn-GB+Platt,youden,Pika
0.5,0.8934426229508197,0.89307660020403,0.8888024883359253,0.9526361288780294,1143,1255,134,152,TwoStage(m=0.15),default,Pika
0.4780076089887986,0.8945603576751118,0.8943916764651105,0.8906068805566293,0.9526361288780294,1152,1249,140,143,TwoStage(m=0.15),youden,Pika
0.5,0.896795827123696,0.8961334367381883,0.8913299333071792,0.9537257714363545,1136,1271,118,159,TwoStage(m=0.2),default,Pika
0.4876765481448599,0.8986587183308494,0.8982207137714697,0.8939984411535464,0.9537257714363545,1147,1265,124,148,TwoStage(m=0.2),youden,Pika
0.5,0.9008941877794336,0.8999624740445475,0.8947784810126582,0.9550277831055369,1131,1287,102,164,TwoStage(m=0.25),default,Pika
0.4876765481448599,0.9027570789865872,0.9020758802616253,0.8975265017667845,0.9550277831055369,1143,1280,109,152,TwoStage(m=0.25),youden,Pika
0.5,0.8838206627680312,0.884081778119439,0.88359375,0.9561783033521586,1131,1136,170,128,Reject(m=0.05),coverage=0.96,Pika
0.5,0.9008533116619261,0.9009271771623015,0.901294498381877,0.9613337137679006,1114,1103,136,108,Reject(m=0.1),coverage=0.92,Pika
0.5,0.9155290102389079,0.9155098356120503,0.9165964616680707,0.966456995588171,1088,1058,112,86,Reject(m=0.15),coverage=0.87,Pika
0.5,0.9326354119253527,0.9324419994661282,0.9344552701505757,0.9719319363133992,1055,994,84,64,Reject(m=0.2),coverage=0.82,Pika
0.5,0.8906732550957381,0.8906189330275796,0.8669172932330828,0.9611952221319179,1153,1731,212,142,bn-GB,default,SVD
0.38521722316089846,0.8885114268066708,0.8947408477516557,0.869155491119971,0.9611952221319179,1199,1678,265,96,bn-GB,youden,SVD
0.5,0.8885114268066708,0.8942257822854838,0.8687749909123955,0.9621347396952131,1195,1682,261,100,bn-GB+SMOTE,default,SVD
0.5084111763831405,0.8906732550957381,0.8958983540558425,0.8708971553610503,0.9621347396952131,1194,1690,253,101,bn-GB+SMOTE,youden,SVD
0.5,0.8835701050030883,0.8908810361718236,0.8643396905361641,0.9612524516281593,1201,1660,283,94,bn-GB-balanced,default,SVD
0.568478419611704,0.8903644224830142,0.894353356370855,0.8696290855673889,0.9612524516281593,1184,1699,244,111,bn-GB-balanced,youden,SVD
0.5,0.8452748610253242,0.8516319348537569,0.820365722481176,0.9316449307185283,1144,1593,350,151,bn-LR-balanced,default,SVD
0.5801279936556067,0.8536133415688697,0.8547169623855162,0.8245743893412287,0.9316449307185283,1114,1650,293,181,bn-LR-balanced,youden,SVD
0.5,0.8795552810376775,0.8780069827933956,0.8524962178517398,0.9505481512686865,1127,1721,222,168,RF-balanced,default,SVD
0.5708302952543375,0.8897467572575664,0.8814771171436122,0.8590604026845637,0.9505481512686865,1088,1793,150,207,RF-balanced,youden,SVD
0.5,0.9116738727609636,0.9176463574816637,0.8956204379562044,0.9741616773011523,1227,1725,218,68,XGBoost,default,SVD
0.6287030577659607,0.9178505250154416,0.9198314114423225,0.900523560209424,0.9741616773011523,1204,1768,175,91,XGBoost,youden,SVD
0.5,0.9079678814082767,0.9137857510477171,0.8912408759124087,0.973430610229375,1221,1719,224,74,XGBoost-tuned,default,SVD
0.6117514967918396,0.9172328597899938,0.9193167434032077,0.8998505231689088,0.973430610229375,1204,1766,177,91,XGBoost-tuned,youden,SVD
0.5,0.890982087708462,0.8850817805527018,0.8625924484235111,0.9577002485906243,1108,1777,166,187,Stacking(GB+LR+RF),default,SVD
0.3979218916504496,0.8937615812229771,0.8921621422908093,0.8694001518602885,0.9577002485906243,1145,1749,194,150,Stacking(GB+LR+RF),youden,SVD
0.5,0.8922174181593576,0.8868837148301894,0.8645712068296468,0.9595363615950336,1114,1775,168,181,Stacking(GB+LR+RF+SVM),default,SVD
0.304214296149811,0.8934527486102533,0.896282864733714,0.8723640399556049,0.9595363615950336,1179,1714,229,116,Stacking(GB+LR+RF+SVM),youden,SVD
