part,strategy,n_latent_feats,holdout_gen,auc,acc
feature_selection,hard(g_mean<=0.70),20,OSora,0.9820318034654264,0.9326352530541012
feature_selection,hard(g_mean<=0.70),20,Pika,0.9437584518076567,0.8855291576673866
feature_selection,hard(g_mean<=0.70),20,SEINE,0.9613927830834695,0.8967546362339515
feature_selection,hard(g_mean<=0.70),20,SVD,0.9784681752117542,0.9248584662892434
feature_selection,hard(g_mean<=0.70),20,VCraft,0.9956578555842094,0.969894366197183
feature_selection,hard(g_mean<=0.70),20,ZS,0.9855292018328882,0.9403463758819757
feature_selection,hard(g_mean<=0.75),20,DC,0.9984018564914477,0.9843505477308294
feature_selection,hard(g_mean<=0.75),20,Latte,0.9623423603763333,0.8989304812834225
feature_selection,hard(g_mean<=0.75),20,OSora,0.9803564107952691,0.931239092495637
feature_selection,hard(g_mean<=0.75),20,Pika,0.9416442364956377,0.875089992800576
feature_selection,hard(g_mean<=0.75),20,SEINE,0.9781914363218633,0.9151212553495007
feature_selection,hard(g_mean<=0.75),20,SVD,0.9870743625122476,0.9467318579516212
feature_selection,hard(g_mean<=0.75),20,VCraft,0.995850649672684,0.9683098591549296
feature_selection,hard(g_mean<=0.75),20,ZS,0.9808891737890565,0.932649134060295
feature_selection,soft(l=0.2),20,DC,0.9986984640896636,0.9843505477308294
feature_selection,soft(l=0.2),20,Latte,0.9607532385827448,0.8970588235294118
feature_selection,soft(l=0.2),20,OSora,0.9798669017966736,0.9300174520069808
feature_selection,soft(l=0.2),20,Pika,0.93592331188019,0.8704103671706264
feature_selection,soft(l=0.2),20,SEINE,0.9724249518214249,0.9038873038516405
feature_selection,soft(l=0.2),20,SVD,0.9866827327151136,0.9467318579516212
feature_selection,soft(l=0.2),20,VCraft,0.9951925461218012,0.9704225352112676
feature_selection,soft(l=0.2),20,ZS,0.9824182949794712,0.9332905708787684
feature_selection,soft(l=0.3),20,DC,0.9985093427311682,0.9856546687532604
feature_selection,soft(l=0.3),20,Latte,0.9631136149160685,0.8986631016042781
feature_selection,soft(l=0.3),20,OSora,0.9818039831997781,0.9314136125654451
feature_selection,soft(l=0.3),20,Pika,0.9425523279951858,0.8790496760259179
feature_selection,soft(l=0.3),20,SEINE,0.9756736987714717,0.9081669044222539
feature_selection,soft(l=0.3),20,SVD,0.9844171867868847,0.9410705095213587
feature_selection,soft(l=0.3),20,VCraft,0.9953433098591549,0.9704225352112676
feature_selection,soft(l=0.3),20,ZS,0.9816480770678726,0.9310455420141116
feature_selection,soft(l=0.5),20,DC,0.9983123299778578,0.9827856025039123
feature_selection,soft(l=0.5),20,Latte,0.9674932082701823,0.9064171122994652
feature_selection,soft(l=0.5),20,OSora,0.9776187909079004,0.9218150087260035
feature_selection,soft(l=0.5),20,Pika,0.939707285620174,0.8772498200143989
feature_selection,soft(l=0.5),20,SEINE,0.9716872014912465,0.9099500713266762
feature_selection,soft(l=0.5),20,SVD,0.981803054579976,0.9338651569737519
