n_estimators,max_depth,learning_rate,subsample,colsample_bytree,mean,min,acc,balacc,f1,stage
100,4,0.1,0.8,0.8,0.9660132635250056,0.9321001458434612,0.9030080875080002,0.9030080875080002,0.9063798719532742,1
500,6,0.01,0.8,0.8,0.9652570849926716,0.930732505933827,0.9007971140978647,0.9007971140978646,0.9044175355981612,1
100,6,0.05,0.8,0.8,0.9643770157183136,0.9285984729331692,0.8989643335078839,0.8989643335078839,0.902747052728851,1
500,5,0.01,0.8,0.8,0.9616946495778234,0.9247121736395094,0.8955024146156979,0.8955024146156979,0.8990557553956835,1
200,3,0.05,0.8,0.8,0.9611501820351218,0.9234727901855929,0.8947751207307849,0.8947751207307849,0.8980293761100617,1
100,3,0.1,0.8,0.8,0.9602833396097443,0.9234246046498327,0.8938441845580962,0.8938441845580962,0.8972662518651989,1
300,6,0.01,0.8,0.8,0.9573910510232824,0.9212187937887844,0.8892185954500494,0.8892185954500494,0.8929434917064942,1
100,5,0.05,0.8,0.8,0.9601440871399838,0.9206780291114988,0.8934078082271484,0.8934078082271484,0.8972172351885098,1
500,4,0.01,0.8,0.8,0.9558579806151404,0.9144599502416426,0.8863385116657939,0.8863385116657939,0.8898723116385263,1
200,6,0.01,0.8,0.8,0.9501099207915791,0.914033572592868,0.8784255541979403,0.8784255541979403,0.8823976361333896,1
300,5,0.01,0.8,0.8,0.9524090961988456,0.9126652177643055,0.8825565834642463,0.8825565834642463,0.8862400315608533,1
100,4,0.05,0.8,0.8,0.9546302900911099,0.9114635820297978,0.8849421074067609,0.8849421074067609,0.8886386034070112,1
200,5,0.01,0.8,0.8,0.9438089548374256,0.9041588263890876,0.8699889451329493,0.8699889451329493,0.8737035467005794,1
100,6,0.01,0.8,0.8,0.9397148519128267,0.900223197689382,0.8656542735788677,0.8656542735788677,0.8698641717860565,1
300,4,0.01,0.8,0.8,0.9451688073177928,0.8991784151677199,0.8708907895502415,0.8708907895502415,0.8744554455445545,1
500,3,0.01,0.8,0.8,0.9475617960663243,0.8986785438531271,0.8762727642985978,0.8762727642985977,0.8798010343950484,1
100,3,0.05,0.8,0.8,0.9465847201557293,0.8941396665618118,0.8752545528597195,0.8752545528597195,0.8789042643321096,1
100,5,0.01,0.8,0.8,0.9311321398877128,0.8876407675369613,0.8538430208878803,0.8538430208878803,0.8574104558097292,1
200,4,0.01,0.8,0.8,0.9349982186010736,0.8869212731276273,0.8574794903124454,0.8574794903124454,0.8606060606060606,1
300,3,0.01,0.8,0.8,0.9351236763873785,0.8801650032886271,0.8596904637225811,0.8596904637225811,0.8628309775034839,1
100,4,0.01,0.8,0.8,0.9191559934730513,0.8691097829506135,0.8383080235061383,0.8383080235061384,0.8407084718560128,1
200,3,0.01,0.8,0.8,0.9235953765471501,0.866524064171123,0.8426717868156165,0.8426717868156164,0.8453089244851258,1
100,3,0.01,0.8,0.8,0.9022959464852519,0.8388238153793359,0.8225402920812241,0.8225402920812241,0.8251146788990825,1
500,6,0.1,0.9,1.0,0.9813743719298749,0.9583970215428121,0.925234188630942,0.9252341886309421,0.9282082797921671,2
500,6,0.1,0.8,0.8,0.981523522455888,0.9580544139622177,0.9254087391633211,0.9254087391633211,0.9283838891682029,2
500,6,0.1,0.7,1.0,0.9816369760894412,0.958019427560266,0.9252632803863385,0.9252632803863385,0.9281780312561156,2
500,6,0.1,1.0,0.9,0.9812727024677579,0.9577532717468996,0.9254087391633211,0.9254087391633211,0.9283558734771432,2
500,6,0.1,0.9,0.7,0.9813856800023578,0.9574754537995493,0.9258742072496654,0.9258742072496655,0.9287989716648969,2
500,6,0.1,0.8,0.7,0.9815025502009778,0.9574321743245424,0.9254087391633211,0.9254087391633211,0.928339854667412,2
500,6,0.1,0.7,0.9,0.981646016797515,0.9573723087034247,0.9263978588468028,0.9263978588468028,0.9293572346009941,2
500,6,0.1,1.0,0.6,0.9812560302009325,0.9572580197903822,0.9260487577820445,0.9260487577820445,0.9289189642637437,2
