round,train_auc,test_auc,train_logloss,test_logloss
140,0.9998014311068427,0.9764712840775968,0.04618809792969678,0.21881096633414954
141,0.9998076441330236,0.9764626215290587,0.04579902491760473,0.2190246793177245
142,0.9998131109576858,0.9765206368848269,0.04539478277755008,0.21883827499194533
143,0.999820345786689,0.976588388560098,0.0450126375595051,0.21871679662234003
144,0.9998272625913915,0.9766557146124866,0.044605720485175415,0.21852695558789506
145,0.9998353446976669,0.9767216535146158,0.044103195018000474,0.21843231680783431
146,0.999840017715049,0.9767140028652069,0.04376158958392302,0.2185947269406688
147,0.9998459110396298,0.9768029575012835,0.043369102381979274,0.2182280048982888
148,0.9998532593519598,0.9768692469767779,0.04293012176926132,0.21810868221871654
149,0.9998585956961972,0.9769199968159615,0.04251731148995424,0.21800825396627768
150,0.9998628831184102,0.9770407564751484,0.04214124485767326,0.21770222011129478
151,0.9998678060249784,0.977082286366955,0.04178032962473958,0.21759018967149835
152,0.9998721045698813,0.9771339418817184,0.04137076051663317,0.21743215077476444
153,0.9998773810571676,0.9771395069370215,0.040967337531917725,0.21750837931163994
154,0.9998823850158937,0.9771980357055409,0.04058667450744543,0.21718725237443176
155,0.9998863309259463,0.9772354318562297,0.040266616034128254,0.217127327347498
156,0.9998909879536988,0.9773433235805093,0.039891311231739605,0.21670657388573245
157,0.9998959393853494,0.9773608417464105,0.03954300355235486,0.2167926055314704
158,0.9998997004020517,0.9773978385507226,0.0391797384627246,0.21674568003527248
159,0.9999036465526733,0.9773579130324136,0.038843179399076645,0.21708373369304412
160,0.999907136641955,0.9774118296727651,0.03847772379122193,0.21687610604985053
161,0.9999115586268177,0.9774288953003196,0.038115115977903936,0.21698103897272317
162,0.9999155477598056,0.9774705403663682,0.03775126322149062,0.2167843557908612
163,0.9999197147534873,0.9775106263456487,0.037387107471998596,0.21657779447326658
164,0.9999225794140384,0.9775732797474308,0.03709328520309402,0.2164109155333499
165,0.9999258879378008,0.9775585919031402,0.036755691727413005,0.21667436798682424
166,0.9999286382091419,0.9775504886918888,0.03644989185410171,0.21685957838296893
167,0.9999321610489517,0.9776280102928726,0.03612825415623275,0.2166180941281597
168,0.9999348276936886,0.977715646801842,0.035780740400270496,0.21633916945172368
169,0.9999383793989051,0.9777802101759275,0.03542720851978847,0.21629677372525344
170,0.9999404873668626,0.9777908867309562,0.03513321907830257,0.2164499276619907
171,0.9999426792140248,0.9778126304969961,0.03483250923227935,0.2163613402447057
172,0.9999451149498078,0.9778183513970125,0.034521796840752135,0.21649818000266266
173,0.9999474151875924,0.97783170474219,0.03420441357064586,0.21654926269867533
