feature,branch,global_auc,global_auc_rank,coef,abs_coef,perm_importance,perm_std,perm_rank
ch2_energy,latent,0.5568487700687283,38,0.09612507137336834,0.09612507137336834,0.0009786619605324897,0.0003546519025064432,36
object_latent_entropy,latent,0.6409725362075754,9,0.10780528821340739,0.10780528821340739,0.0008161188331249792,0.0002653622169603028,37
ch3_energy,latent,0.5659401653305071,33,0.20321404385333713,0.20321404385333713,0.000744975829204808,0.0003260971351583868,38
object_latent_variance,latent,0.5360552419753446,47,-0.12768906527574625,0.12768906527574625,0.0005407840639670147,0.0002487878319023463,39
ch2_mean,latent,0.5083872577856213,59,-0.3586189774234145,0.3586189774234145,0.00046494140830719564,0.001346371779477439,40
hf_var_ratio_median_objspread,physics,0.5747512020574752,29,0.17444180615931373,0.17444180615931373,0.0004331782448257715,0.00044778425073026317,41
object_latent_motion_consistency,latent,0.5182208739083438,55,-0.06726830542892082,0.06726830542892082,0.00038650584134284347,0.00010983170369292808,42
hf_var_ratio_std_objspread,physics,0.6215872830665066,14,-0.1585562355877043,0.1585562355877043,0.00028408584481085517,0.00041216729845044466,43
valid_frac_objspread,physics,0.602334106345016,23,0.056592991573426676,0.056592991573426676,0.0002578326178517165,0.0001266046571712238,44
latent_temporal_entropy,latent,0.5593509294776742,36,-0.08457081762376975,0.08457081762376975,0.00020127474002001877,0.0001842578331343367,45
spatial_variance,latent,0.6040008621430089,22,-0.20058658409548427,0.20058658409548427,0.0001593019882766833,0.0005499583988069515,46
latent_skewness,latent,0.5221702019391735,52,-0.06971676961769398,0.06971676961769398,0.00011538455305488693,0.0001531910618192283,47
hf_var_ratio_std_objmedian,physics,0.5125942563773463,57,0.08497342768629353,0.08497342768629353,9.09139526176439e-05,9.229125889815007e-05,48
ch1_variance,latent,0.5960260393117766,25,0.05492038395220429,0.05492038395220429,8.021819348613679e-05,0.0002017504973225765,49
valid_frac_objmedian,physics,0.521341280606482,54,-0.10210127941127184,0.10210127941127184,7.454620000728607e-05,0.0001060501516038625,50
channel_correlation_std,latent,0.5388231747930128,46,0.15638253721937245,0.15638253721937245,6.482278261505936e-05,0.0005516453078062306,51
mahalanobis_distance,latent,0.6115365106220232,17,-0.05329701295352323,0.05329701295352323,6.239192826698047e-05,0.00010215567184600415,52
patch_entropy,latent,0.5121810111381746,58,0.01055974291579783,0.01055974291579783,4.618623261317678e-05,2.5337438018346198e-05,53
orient_R_median_objspread,physics,0.5829934188669951,28,0.07238691213991351,0.07238691213991351,3.2087277394377e-05,0.0001230839387931367,54
inter_obj_pairs,physics,0.6322247016936573,10,0.005559052056504391,0.005559052056504391,2.6415283915570687e-05,1.772357893087333e-05,55
latent_density_score,latent,0.5028740801242004,62,0.3576603629047322,0.3576603629047322,5.509936522130055e-06,8.364399911584357e-06,56
psd_slope_diff_std_objspread,physics,0.6236632326797577,12,0.1137577997716151,0.1137577997716151,5.023765652545364e-06,0.00024539666946845197,57
psd_slope_diff_std_objmedian,physics,0.5896725963307063,26,0.011227960567885963,0.011227960567885963,1.6205695652082852e-06,3.5460491380307235e-05,58
channel_mutual_information,latent,0.5699445927265596,31,0.09318914497113157,0.09318914497113157,-6.968449131239396e-06,0.00034039835158383903,59
inter_obj_corr_median,physics,0.5148063338340894,56,0.02412772731729767,0.02412772731729767,-8.426961740115591e-06,8.4131756219452e-05,60
orient_phase_noise_objspread,physics,0.5973160126858186,24,0.05005527960957851,0.05005527960957851,-1.847449304546167e-05,7.770018469930108e-05,61
hf_var_ratio_median_objmedian,physics,0.5844908251454056,27,-0.05093405620428418,0.05093405620428418,-7.665294044260085e-05,6.85792030508338e-05,62
