feature,fake_auc,real_source_auc,gen_DynamicCrafter_vs_SVD,gen_DynamicCrafter_vs_ZeroScope,gen_SVD_vs_ZeroScope,gen_mean_auc,gen_max_auc,domain_specificity
hf_var_ratio_std_objspread,0.6266997485698469,0.5323194337241962,0.5083555027195252,0.5497242357047758,0.5393770568977236,0.5324855984406749,0.5497242357047758,0.5324855984406749
latent_temporal_entropy,0.5524639629433241,0.580097215191795,0.5451256748473916,0.5492171425913712,0.5030975819185465,0.532480133119103,0.5492171425913712,0.580097215191795
inter_obj_corr_median,0.5274579261085585,0.5377879068640636,0.547495107700395,0.5128446300830187,0.5342379694282563,0.5315259024038901,0.547495107700395,0.5377879068640636
orient_R_median_objspread,0.5911298348695753,0.5075998192831004,0.5029804836913054,0.5457790813968935,0.5435095870540024,0.5307563840474004,0.5457790813968935,0.5307563840474004
hf_var_ratio_median_objspread,0.5836317685546167,0.5094879534981324,0.500868921809387,0.5452547561519546,0.5437543762464359,0.5299593514025925,0.5452547561519546,0.5299593514025925
psd_slope_diff_median_objspread,0.5571956880502499,0.5190855737532265,0.5042781612954064,0.5434955730152181,0.5385776542955963,0.5287837962020737,0.5434955730152181,0.5287837962020737
edgeflow_align_diff_std_objmedian,0.7314454562124358,0.6606062934960735,0.5082371049077101,0.5332016330037814,0.5381900851628698,0.5265429410247872,0.5381900851628698,0.6606062934960735
edgeflow_align_median_objspread,0.5430039983263295,0.526514686094524,0.5041117063218794,0.5295912504939599,0.5244224675212774,0.5193751414457056,0.5295912504939599,0.526514686094524
inter_obj_corr_min,0.5585610018138243,0.5328204850860326,0.5084179233345979,0.5281972881644033,0.5181578119444581,0.5182576744811531,0.5281972881644033,0.5328204850860326
valid_frac_objmedian,0.5280055662974391,0.5035694275964573,0.5056142309337238,0.5215120576403088,0.5159727011356701,0.5143663299032343,0.5215120576403088,0.5143663299032343
inside_out_dI_diffz_std_objmedian,0.5968951763135335,0.5448026259297756,0.5171181489347821,0.500109081065635,0.5184172917897077,0.511881507263375,0.5184172917897077,0.5448026259297756
