threshold,accuracy,balanced_accuracy,f1,precision,recall,auc,tp,tn,fp,fn,fpr,fnr,config,feature_set,model,threshold_strategy,holdout_gen
0.2799999999999999,0.8212951432129514,0.8267349844814633,0.7941176470588235,0.7414601473543202,0.8548262548262548,0.9095610701244503,1107,1531,386,188,0.20135628586332802,0.14517374517374507,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,max-balacc,DC
0.34999999999999987,0.8337484433374844,0.8202556681429921,0.784503631961259,0.8216398985629755,0.7505791505791506,0.9095610701244503,972,1706,211,323,0.11006781429316635,0.24942084942084924,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,max-acc,DC
0.5,0.7696139476961394,0.7179187235525264,0.6121593291404612,0.9526916802610114,0.450965250965251,0.9078138500673713,584,1888,29,711,0.015127803860198219,0.5490347490347487,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,default(0.5),DC
0.28650913356795704,0.8259651307596513,0.8287682048245428,0.7962085308056872,0.7541436464088398,0.8432432432432433,0.9078138500673713,1092,1561,356,203,0.18570683359415746,0.15675675675675665,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,youden,DC
0.29999999999999993,0.8278331257783312,0.8267001407846478,0.7935796939156402,0.7680635838150289,0.8208494208494208,0.9078138500673713,1063,1596,321,232,0.16744913928012511,0.17915057915057903,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,max-f1,DC
0.29999999999999993,0.8278331257783312,0.8267001407846478,0.7935796939156402,0.7680635838150289,0.8208494208494208,0.9078138500673713,1063,1596,321,232,0.16744913928012511,0.17915057915057903,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,max-balacc,DC
0.3199999999999999,0.8300124533001245,0.8220115487721121,0.7873831775700935,0.7941869599371564,0.7806949806949807,0.9078138500673713,1011,1655,262,284,0.13667188315075632,0.21930501930501914,B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,max-acc,DC
0.5,0.8396637608966376,0.8145628525910216,0.7750109217999126,0.892354124748491,0.684942084942085,0.9150168276928842,887,1810,107,408,0.0558163797600417,0.31505791505791486,B: z0+eps+physics,safe_max(g<=0.80),GB+LR(0.7),default(0.5),DC
0.3294366393552004,0.836239103362391,0.8361226417564446,0.8044609665427509,0.7756272401433691,0.8355212355212355,0.9150168276928842,1082,1604,313,213,0.1632759520083463,0.16447876447876436,B: z0+eps+physics,safe_max(g<=0.80),GB+LR(0.7),youden,DC
0.32999999999999985,0.8359277708592777,0.8357365413703441,0.8040163629602083,0.7754662840746055,0.8347490347490347,0.9150168276928842,1081,1604,313,214,0.1632759520083463,0.16525096525096514,B: z0+eps+physics,safe_max(g<=0.80),GB+LR(0.7),max-f1,DC
0.32999999999999985,0.8359277708592777,0.8357365413703441,0.8040163629602083,0.7754662840746055,0.8347490347490347,0.9150168276928842,1081,1604,313,214,0.1632759520083463,0.16525096525096514,B: z0+eps+physics,safe_max(g<=0.80),GB+LR(0.7),max-balacc,DC
0.44999999999999984,0.8446450809464509,0.8271295440309525,0.7926879933527212,0.8579136690647482,0.7366795366795367,0.9150168276928842,954,1759,158,341,0.08242044861763168,0.26332046332046316,B: z0+eps+physics,safe_max(g<=0.80),GB+LR(0.7),max-acc,DC
0.5,0.6005961251862891,0.6020914465838871,0.6090444930707513,0.5770559778852798,0.6447876447876448,0.6359381905818191,835,777,612,460,0.4406047516198701,0.35521235521235495,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,default(0.5),Pika
0.4818215586333005,0.6020864381520119,0.6044981111935757,0.620199146514936,0.5748187211601846,0.6733590733590734,0.6359381905818191,872,744,645,423,0.4643628509719219,0.3266409266409264,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,youden,Pika
0.20999999999999996,0.5439642324888226,0.556756200816676,0.6611295681063123,0.5153215364695727,0.922007722007722,0.6359381905818191,1194,266,1123,101,0.8084953203743696,0.07799227799227794,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,max-f1,Pika
0.45999999999999985,0.5998509687034277,0.6032266762288361,0.6278586278586279,0.5694531741043369,0.6996138996138996,0.6359381905818191,906,704,685,389,0.4931605471562272,0.3003861003861002,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,max-balacc,Pika
0.5799999999999997,0.6028315946348733,0.6010896425583251,0.5725741780272654,0.5954962468723937,0.5513513513513514,0.6359381905818191,714,904,485,581,0.349172066234701,0.44864864864864834,B: z0+eps+physics,safe_max(g<=0.65),bn-GB,max-acc,Pika
0.5,0.6248137108792846,0.6210476134882182,0.5691056910569106,0.6381957773512476,0.5135135135135135,0.6746616409683365,665,1012,377,630,0.27141828653707684,0.4864864864864861,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,default(0.5),Pika
0.38768690172040654,0.6359910581222057,0.636994198765257,0.6382821177341725,0.6130867709815079,0.6656370656370656,0.6746616409683365,862,845,544,433,0.39164866810655125,0.3343629343629341,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,youden,Pika
0.17999999999999997,0.5767511177347243,0.5879633413110735,0.6743119266055045,0.5362517099863201,0.9081081081081082,0.6746616409683365,1176,372,1017,119,0.7321814254859607,0.09189189189189183,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,max-f1,Pika
0.3899999999999999,0.6356184798807749,0.636529710827767,0.6369710467706013,0.6132952108649035,0.6625482625482626,0.6746616409683365,858,848,541,437,0.38948884089272834,0.33745173745173723,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,max-balacc,Pika
0.3899999999999999,0.6356184798807749,0.636529710827767,0.6369710467706013,0.6132952108649035,0.6625482625482626,0.6746616409683365,858,848,541,437,0.38948884089272834,0.33745173745173723,B: z0+eps+physics,safe_max(g<=0.65),bn-LR,max-acc,Pika
0.5,0.5935171385991058,0.5944942474100141,0.5963743988161302,0.5724431818181818,0.6223938223938223,0.6335154037097881,806,787,602,489,0.4334053275737938,0.3776061776061773,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,default(0.5),Pika
0.4737382304579975,0.5964977645305514,0.5986282178506801,0.6119670369043354,0.570855614973262,0.6594594594594595,0.6335154037097881,854,747,642,441,0.4622030237580991,0.3405405405405403,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,youden,Pika
0.1,0.5,0.5165005795675343,0.6558974358974359,0.490978886756238,0.9876447876447877,0.6335154037097881,1279,63,1326,16,0.9546436285097186,0.012355212355212346,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,max-f1,Pika
0.46999999999999986,0.5946348733233979,0.5969067493905507,0.6117059243397573,0.568679495686795,0.6617760617760617,0.6335154037097881,857,739,650,438,0.4679625629949601,0.338223938223938,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,max-balacc,Pika
0.5799999999999997,0.5979880774962743,0.5948683950843778,0.548346588530766,0.5987202925045704,0.5057915057915058,0.6335154037097881,655,950,439,640,0.31605471562274995,0.4942084942084939,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+Platt,max-acc,Pika
0.5,0.5983606557377049,0.5986512893640323,0.5932075471698113,0.5800738007380074,0.6069498069498069,0.6339443114821084,786,820,569,509,0.409647228221742,0.3930501930501928,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,default(0.5),Pika
0.46575990942188134,0.603204172876304,0.6053689913301145,0.6186895810955961,0.5767690253671562,0.6671814671814672,0.6339443114821084,864,755,634,431,0.456443484521238,0.3328185328185326,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,youden,Pika
0.1,0.49552906110283157,0.5121547959560918,0.6537084398976982,0.4887189292543021,0.9868725868725868,0.6339443114821084,1278,52,1337,17,0.9625629949604025,0.013127413127413117,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,max-f1,Pika
0.45999999999999985,0.6002235469448585,0.6026198676306668,0.6182853077196727,0.5732189973614775,0.6710424710424711,0.6339443114821084,869,742,647,426,0.4658027357811372,0.3289575289575287,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,max-balacc,Pika
0.5599999999999997,0.6009687034277198,0.5980617149083671,0.5546777546777547,0.6009009009009009,0.5150579150579151,0.6339443114821084,667,946,443,628,0.3189344852411805,0.48494208494208463,B: z0+eps+physics,safe_max(g<=0.65),bn-GB+isotonic,max-acc,Pika
0.5,0.6188524590163934,0.6193119685560291,0.6155580608793687,0.5995607613469985,0.6324324324324324,0.6576960175232313,819,842,547,476,0.3938084953203741,0.3675675675675673,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),default(0.5),Pika
0.4643167294555701,0.6210879284649776,0.6231179343490358,0.6343042071197411,0.5935397039030955,0.6810810810810811,0.6576960175232313,882,785,604,413,0.43484521238300905,0.3189189189189187,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),youden,Pika
0.20999999999999996,0.551043219076006,0.5638830746822108,0.6666666666666666,0.5193965517241379,0.9305019305019305,0.6576960175232313,1205,274,1115,90,0.8027357811375084,0.06949806949806944,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),max-f1,Pika
0.46999999999999986,0.6195976154992549,0.6213644993342617,0.6302064469395147,0.5934515688949522,0.6718146718146718,0.6576960175232313,870,793,596,425,0.42908567314614804,0.328185328185328,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),max-balacc,Pika
0.5199999999999998,0.6214605067064084,0.6209695039068689,0.60741885625966,0.6078886310904872,0.6069498069498069,0.6576960175232313,786,882,507,509,0.3650107991360689,0.3930501930501928,B: z0+eps+physics,safe_max(g<=0.65),GB+LR(0.7),max-acc,Pika
0.5,0.6769746646795827,0.6787336240899956,0.6852994555353902,0.6465753424657534,0.728957528957529,0.7482464260002056,944,873,516,351,0.37149028077753754,0.27104247104247087,B: z0+eps+physics,safe_max(g<=0.80),bn-GB,default(0.5),Pika
