config,feature_set,model,threshold_strategy,accuracy_DC,accuracy_Pika,accuracy_SVD,accuracy_ZS,accuracy_mean,accuracy_min,balanced_accuracy_DC,balanced_accuracy_Pika,balanced_accuracy_SVD,balanced_accuracy_ZS,balanced_accuracy_mean,balanced_accuracy_min,f1_DC,f1_Pika,f1_SVD,f1_ZS,f1_mean,f1_min,auc_DC,auc_Pika,auc_SVD,auc_ZS,auc_mean,auc_min,threshold_mean
B: z0+eps+physics,safe_max(g<=0.80),bn-GB+Platt,youden,0.8278331257783312,0.6959761549925484,0.7927733168622606,0.7365101611772951,0.7632731897026088,0.6959761549925484,0.8277023502375616,0.6912914766046515,0.7867674674159492,0.7373090858658531,0.7607675950310038,0.6912914766046515,0.7948051948051948,0.6389380530973451,0.7449638920562524,0.7198211624441133,0.7246320756007264,0.6389380530973451,0.9095610701244503,0.7518945048102715,0.8680581912697198,0.8096641496256635,0.8347944789575263,0.7518945048102715,0.4379211780192046
B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,default(0.5),0.7696139476961394,0.6814456035767511,0.7853613341568869,0.7393132445690259,0.7439335324997008,0.6814456035767511,0.7179187235525264,0.6806755227921535,0.7496875229762517,0.7332058714996496,0.7203719102051453,0.6806755227921535,0.6121593291404612,0.6661460367044123,0.6804597701149425,0.6990291262135923,0.6644485655433521,0.6121593291404612,0.9078138500673713,0.7524101392351932,0.8675065625142826,0.8104630975702176,0.8345484123467662,0.7524101392351932,0.5
B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,max-acc,0.8300124533001245,0.6911326378539493,0.7995676343421866,0.7421163279607569,0.7657072633642543,0.6911326378539493,0.8220115487721121,0.6866379801584985,0.7841877683874596,0.73341786760645,0.75656379123113,0.6866379801584985,0.7873831775700935,0.6356043956043956,0.7384119306731157,0.6923076923076923,0.7134267990388243,0.6356043956043956,0.9078138500673713,0.7524101392351932,0.8675065625142826,0.8104630975702176,0.8345484123467662,0.7524101392351932,0.46499999999999986
B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,max-balacc,0.8278331257783312,0.6907600596125186,0.7977146386658431,0.735459004905396,0.7629417072405222,0.6907600596125186,0.8267001407846478,0.6870618844700918,0.7859916898002333,0.7372622783142347,0.7592539983423018,0.6870618844700918,0.7935796939156402,0.6446917808219178,0.7420244190626231,0.7219152854511971,0.7255527948128445,0.6446917808219178,0.9078138500673713,0.7524101392351932,0.8675065625142826,0.8104630975702176,0.8345484123467662,0.7524101392351932,0.42749999999999977
B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,max-f1,0.8278331257783312,0.6825633383010432,0.7816553428042001,0.7305536089698669,0.7556513539633605,0.6825633383010432,0.8267001407846478,0.684786421719467,0.7844568265052053,0.7343413880296498,0.7575711942597425,0.684786421719467,0.7935796939156402,0.6946236559139785,0.7452252252252253,0.7230824630896651,0.7391277595361272,0.6946236559139785,0.9078138500673713,0.7524101392351932,0.8675065625142826,0.8104630975702176,0.8345484123467662,0.7524101392351932,0.3674999999999998
B: z0+eps+physics,safe_max(g<=0.80),bn-GB+isotonic,youden,0.8259651307596513,0.6922503725782414,0.7992588017294626,0.7361597757533287,0.763408520205171,0.6922503725782414,0.8287682048245428,0.6880314439709687,0.7865057616987622,0.7378383331558444,0.7602859359125295,0.6880314439709687,0.7962085308056872,0.6402439024390244,0.7422680412371134,0.7222427148653633,0.7252407973367971,0.6402439024390244,0.9078138500673713,0.7524101392351932,0.8675065625142826,0.8104630975702176,0.8345484123467662,0.7524101392351932,0.42841722628162093
B: z0+eps+physics,safe_max(g<=0.80),bn-LR,default(0.5),0.8250311332503113,0.71274217585693,0.7668313773934528,0.7414155571128241,0.7615050609033795,0.71274217585693,0.7990469342582018,0.7118014960347574,0.7496994457879687,0.7363070575386162,0.749213733404886,0.7118014960347574,0.7539404553415061,0.6970530451866405,0.694949494949495,0.7050359712230215,0.7127447416751658,0.694949494949495,0.8898334954672984,0.7712606775241765,0.8338834386183844,0.7932290028505551,0.8220516536151036,0.7712606775241765,0.5
B: z0+eps+physics,safe_max(g<=0.80),bn-LR,max-acc,0.8290784557907845,0.71274217585693,0.7705373687461395,0.7414155571128241,0.7634433893766696,0.71274217585693,0.8103300483582174,0.7137611848195002,0.7436450419981042,0.7363070575386162,0.7510108331786095,0.7137611848195002,0.7709637046307884,0.7139146567717997,0.6798793623438173,0.7050359712230215,0.7174484237423567,0.6798793623438173,0.8898334954672984,0.7712606775241765,0.8338834386183844,0.7932290028505551,0.8220516536151036,0.7712606775241765,0.48249999999999976
B: z0+eps+physics,safe_max(g<=0.80),bn-LR,max-balacc,0.8290784557907845,0.71274217585693,0.7655960469425571,0.7414155571128241,0.762208058925774,0.71274217585693,0.8103300483582174,0.7137611848195002,0.7623193445632972,0.7363070575386162,0.7556794088199078,0.7137611848195002,0.7709637046307884,0.7139146567717997,0.717948717948718,0.7050359712230215,0.7269657626435819,0.7050359712230215,0.8898334954672984,0.7712606775241765,0.8338834386183844,0.7932290028505551,0.8220516536151036,0.7712606775241765,0.44249999999999984
B: z0+eps+physics,safe_max(g<=0.80),bn-LR,max-f1,0.8290784557907845,0.7075260804769001,0.7637430512662137,0.732655921513665,0.7582508772618908,0.7075260804769001,0.8103300483582174,0.7102109514636512,0.7618054713782969,0.7311659042897016,0.7533780938724668,0.7102109514636512,0.7709637046307884,0.7219270279844138,0.7180243273129377,0.7082217973231357,0.729784214312819,0.7082217973231357,0.8898334954672984,0.7712606775241765,0.8338834386183844,0.7932290028505551,0.8220516536151036,0.7712606775241765,0.4149999999999998
B: z0+eps+physics,safe_max(g<=0.80),bn-LR,youden,0.8300124533001245,0.713859910581222,0.7665225447807289,0.7417659425367905,0.7630402127997165,0.713859910581222,0.8114883495165185,0.7147888400588185,0.7636064120881414,0.7370200678090351,0.7567259173681284,0.7147888400588185,0.7725,0.7142857142857143,0.7195845697329377,0.706725029844807,0.7282738284658647,0.706725029844807,0.8898334954672984,0.7712606775241765,0.8338834386183844,0.7932290028505551,0.8220516536151036,0.7712606775241765,0.4414492139585194
D: z0+eps+physics+csv,safe_max(g<=0.65),GB+LR(0.7),default(0.5),0.9274595267745953,0.8681073025335321,0.890982087708462,0.8545900490539594,0.8852847415176373,0.8545900490539594,0.9153002096664069,0.8677624245658804,0.8866269769512178,0.8561792159611274,0.8814672067861582,0.8561792159611274,0.9045473166734944,0.8625776397515528,0.8638642499035866,0.844975719088532,0.8689912313542915,0.844975719088532,0.9840617277236996,0.9381160858482673,0.9562969336515398,0.9303894933144453,0.952216060134488,0.9303894933144453,0.5
