combo,n_dim,holdout_gen,auc,acc,balacc,f1,threshold
z0+eps+physics,84,OSora,0.8457848682266873,0.7657940663176265,0.7657940663176266,0.7658757850662945,0.7758265137672424
z0+eps+physics,84,Pika,0.75686057426421,0.6947444204463643,0.6947444204463643,0.6530278232405892,0.914589524269104
z0+eps+physics,84,SEINE,0.979744330495868,0.9276034236804565,0.9276034236804565,0.9278863232682061,0.42374172806739807
z0+eps+physics,84,SVD,0.9363660516167278,0.8633556356150283,0.8633556356150283,0.8664150943396226,0.5683333277702332
z0+eps+physics,84,VCraft,0.956884670700258,0.8890845070422535,0.8890845070422535,0.8864455659697188,0.5796843767166138
z0+eps+physics,84,ZS,0.8275310524953703,0.7594611930724824,0.7594611930724824,0.741913282863042,0.8448498845100403
z0+eps+csv,75,DC,0.9991564371059916,0.9869587897756912,0.9869587897756912,0.9869109947643979,0.3096345067024231
z0+eps+csv,75,Latte,0.9563667820069205,0.8943850267379679,0.8943850267379679,0.8939027665860865,0.8831669688224792
z0+eps+csv,75,OSora,0.9831760825269775,0.9364746945898779,0.9364746945898779,0.9347903977069151,0.823318600654602
z0+eps+csv,75,Pika,0.9279249020769483,0.8549316054715623,0.8549316054715623,0.8522185551888523,0.92518550157547
z0+eps+csv,75,SEINE,0.9751711178853929,0.9090584878744651,0.909058487874465,0.9119779081808768,0.6693446040153503
z0+eps+csv,75,SVD,0.9889501328256758,0.9482758620689655,0.9482758620689655,0.9478599221789883,0.6924989819526672
z0+eps+csv,75,VCraft,0.9949531342987502,0.969894366197183,0.969894366197183,0.9699631125944141,0.5026166439056396
z0+eps+csv,75,ZS,0.987800768654435,0.9445157152020526,0.9445157152020527,0.9431482090042721,0.7619194388389587
z0+physics+csv,84,DC,0.9986108423955118,0.9853938445487741,0.9853938445487742,0.9853479853479854,0.340817391872406
z0+physics+csv,84,Latte,0.9204083616917841,0.8422459893048129,0.8422459893048129,0.8422459893048129,0.9041535258293152
z0+physics+csv,84,OSora,0.9882687182673476,0.9511343804537522,0.9511343804537522,0.9512704490080056,0.6644853949546814
z0+physics+csv,84,Pika,0.9260273432984973,0.8588912886969042,0.8588912886969042,0.8541666666666666,0.9125489592552185
z0+physics+csv,84,SEINE,0.9681166704992461,0.9046005706134094,0.9046005706134095,0.9083433270515676,0.6508119702339172
z0+physics+csv,84,SVD,0.987782792605203,0.9467318579516212,0.9467318579516212,0.9471804031640725,0.5873638391494751
z0+physics+csv,84,VCraft,0.99693550386828,0.9748239436619718,0.9748239436619719,0.9745868135773947,0.5521171689033508
z0+physics+csv,84,ZS,0.9832843786888275,0.9323284156510584,0.9323284156510584,0.9319135204904808,0.745278537273407
eps+physics+csv,57,DC,0.998214912069453,0.9804381846635368,0.9804381846635368,0.9803613511390417,0.31299856305122375
eps+physics+csv,57,Latte,0.986046784294661,0.9409090909090909,0.9409090909090909,0.9409879839786381,0.591691255569458
eps+physics+csv,57,OSora,0.9740278805710126,0.918499127399651,0.918499127399651,0.9195521102497847,0.6498730778694153
eps+physics+csv,57,Pika,0.9428169288573545,0.871130309575234,0.871130309575234,0.8723252496433667,0.809414803981781
eps+physics+csv,57,SEINE,0.9765774286173614,0.9188659058487875,0.9188659058487875,0.9184149184149184,0.6946772336959839
eps+physics+csv,57,SVD,0.9806815391514572,0.9307771487390633,0.9307771487390633,0.9307236672675766,0.6327260732650757
eps+physics+csv,57,VCraft,0.9931197926998613,0.9621478873239436,0.9621478873239437,0.9619670971165752,0.48274779319763184
eps+physics+csv,57,ZS,0.985510686979244,0.9377806286080821,0.9377806286080821,0.936890045543266,0.7014803886413574
z0+eps+physics+csv,100,DC,0.9988636391466518,0.989567031820553,0.989567031820553,0.9895506792058516,0.22908057272434235
z0+eps+physics+csv,100,Latte,0.9560414938945924,0.8898395721925134,0.8898395721925134,0.8876772082878953,0.885992705821991
z0+eps+physics+csv,100,OSora,0.984762722756747,0.9420593368237348,0.9420593368237347,0.9413220219158713,0.789008378982544
z0+eps+physics+csv,100,Pika,0.9342830975249842,0.8704103671706264,0.8704103671706264,0.8711524695776665,0.9029348492622375
z0+eps+physics+csv,100,SEINE,0.9809189694363667,0.920114122681883,0.920114122681883,0.92,0.774082362651825
z0+eps+physics+csv,100,SVD,0.9900848924137189,0.9534225424601133,0.9534225424601133,0.9538618404282437,0.5533192157745361
z0+eps+physics+csv,100,VCraft,0.9969744346359849,0.975,0.9750000000000001,0.9749382280268267,0.499817430973053
z0+eps+physics+csv,100,ZS,0.9882759832313028,0.946119307248236,0.9461193072482361,0.9445910290237467,0.8021824359893799
