feature,DynamicCrafter,SVD,ZeroScope,mean_auc,std_auc,stability
latent_jerk_mean,0.6843491136104013,0.5244812398613654,0.631085657188558,0.6133053368867749,0.08140355708926311,0.5319017797975119
orient_phase_noise_objspread,0.6536841625231935,0.6303162683961251,0.5217778964120136,0.6019261091104441,0.07038690658104042,0.5315392025294037
edgeflow_align_median_objspread,0.5511301075322068,0.5463765680273882,0.5288085818562694,0.5421050858052882,0.011757839827352234,0.5303472459779359
latent_temporal_entropy,0.5242329725540302,0.566177443614533,0.5700864874026681,0.5534989678570771,0.02542034650910293,0.5280786213479741
ch2_energy,0.5464668431357012,0.5412566084353441,0.6413048773556564,0.5763427763089005,0.056319113680125446,0.5200236626287751
ch3_mean,0.5897754229314,0.5754626922676014,0.5124719878857755,0.559236701028259,0.041126844776103136,0.5181098562521558
ch2_variance,0.5090997520519271,0.603313094066985,0.611573532307305,0.5746621261420725,0.0569287043786581,0.5177334217634144
spatial_autocorrelation,0.5839090965742886,0.6341127086359994,0.5147925022937456,0.5776047691680112,0.05990940091858424,0.517695368249427
valid_frac_objmedian,0.5361942591437042,0.5306683009277054,0.5146178706124503,0.5271601435612867,0.011207832600176302,0.5159523109611104
latent_std,0.6185601286457612,0.5590446189502074,0.8889286685720317,0.6888444720560001,0.17581464172582398,0.5130298303301761
latent_skewness,0.5307317047503021,0.5186967212714255,0.5826063039436185,0.5440115766551153,0.033961374202020334,0.5100502024530951
ch2_mean,0.5235049242949492,0.5094752462588845,0.5406993944917629,0.5245598550151989,0.01563878247612597,0.5089210725390729
orient_phase_noise_objmedian,0.6327524010683888,0.5575153748933204,0.5148174949862375,0.5683617569826489,0.05971091626723075,0.5086508407154181
inter_obj_corr_median,0.5481604465046256,0.5031128458536649,0.5323429545472999,0.5278720823018634,0.022854170408885308,0.5050179118929782
object_latent_motion_consistency,0.5236151658544799,0.5387459730483332,0.5018160933655946,0.5213924107561358,0.018565006962449452,0.5028274037936864
ch0_mean,0.5224565203574942,0.5686577954292266,0.5055241462394752,0.5322128206753987,0.03267802720366555,0.49953479347173313
object_motion_smoothness,0.510067783340927,0.5592719238812485,0.5102291791841573,0.5265229621354443,0.028361547625714363,0.4981614145097299
gradient_magnitude_std,0.5409121542428504,0.5067532366267744,0.5035975521877868,0.5170876476858038,0.0206928712503771,0.49639477643542673
gradient_magnitude_mean,0.5830683821635863,0.5117751690586787,0.7418084230194624,0.6122173247472424,0.11775427857303343,0.494463046174209
ch0_variance,0.5378109461975793,0.5478374068385701,0.7561572098716314,0.6139351876359269,0.12326986730282566,0.4906653203331013
spatial_variance,0.5360625057777514,0.5428127768783755,0.7516770477261471,0.6101841101274247,0.12258295184372071,0.487601158283704
channel_correlation_std,0.556256572192178,0.5446188993107357,0.8093320810768019,0.6367358508599051,0.1495859380802115,0.48714991277969366
