method,DC,SVD,ZS,mean,min,sharpe
"3way(0.3,0.4,0.3)",0.9094981804222411,0.8790979106310258,0.890883738650909,0.8931599432347253,0.8790979106310258,0.8869025485249278
"3way(0.3,0.3,0.4)",0.915760747582539,0.8847021415993805,0.8881587636356755,0.896207217605865,0.8847021415993805,0.8892580874458261
"3way(0.5,0.3,0.2)",0.919538286980925,0.8902009954321302,0.8895231026286567,0.8997541283472373,0.8895231026286567,0.8927580034163031
"3way(0.4,0.4,0.2)",0.9117392562872565,0.8819714993028309,0.892009030311284,0.8952399286337904,0.8819714993028309,0.8890571721429694
"dual(lg=0.3,lr=0.0)/GB",0.918677644502027,0.8895271926462032,0.8610377945764646,0.8897475439082316,0.8610377945764646,0.8779816008884439
"dual(lg=0.3,lr=0.0)/LR",0.9037987458767331,0.8719884665488682,0.8618096582528314,0.8791989568928109,0.8618096582528314,0.8702568817410169
"dual(lg=0.0,lr=0.3)/GB",0.9403927687456755,0.9071144838582081,0.6338054072424347,0.8271042199487728,0.6338054072424347,0.758426003719604
"dual(lg=0.0,lr=0.3)/LR",0.9025693892998612,0.8504799241284624,0.7643709208177312,0.8391400780820183,0.7643709208177312,0.8106469553621719
"dual(lg=0.3,lr=0.3)/GB",0.9184451471992745,0.8821385755149354,0.8314761563657564,0.8773532930266553,0.8314761563657564,0.8595203855332055
"dual(lg=0.3,lr=0.3)/LR",0.9055438687736929,0.8579485667945955,0.8233345580566152,0.8622756645416345,0.8233345580566152,0.8454251674009535
"dual(lg=0.5,lr=0.2)/GB",0.9214741133911944,0.8989677622325292,0.8610661840187189,0.8938360198808142,0.8610661840187189,0.8813725361019185
"dual(lg=0.5,lr=0.2)/LR",0.9098145748875052,0.878281161469843,0.8550961723214457,0.881063969559598,0.8550961723214457,0.8698513731423713
"dual(lg=0.2,lr=0.5)/GB",0.9238569785566901,0.8830603963707504,0.833596724269805,0.8801713663990819,0.833596724269805,0.861718777390959
"dual(lg=0.2,lr=0.5)/LR",0.9101120847516134,0.8607549584523917,0.8344632194203534,0.8684434208747862,0.8344632194203534,0.8527642305933324
"dual(lg=0.4,lr=0.1)/GB",0.9214666833841825,0.8994103462020706,0.8610661840187189,0.8939810712016573,0.8610661840187189,0.88150333869416
"dual(lg=0.4,lr=0.1)/LR",0.9098145748875052,0.878281161469843,0.8550961723214457,0.881063969559598,0.8550961723214457,0.8698513731423713
"dual(lg=0.1,lr=0.4)/GB",0.9484143900660805,0.9064055553604127,0.6431533511267934,0.8326577655177622,0.6431533511267934,0.7651113273516382
"dual(lg=0.1,lr=0.4)/LR",0.907322426702207,0.8642064414446746,0.803091239964435,0.8582067027037722,0.803091239964435,0.8368251190357711
"dual(lg=0.3,lr=0.5)/GB",0.9238569785566902,0.8831217900062768,0.8320513511523028,0.8796767065717566,0.8320513511523028,0.8608974194195002
"dual(lg=0.3,lr=0.5)/LR",0.9101120847516134,0.8607549584523917,0.8344632194203534,0.8684434208747862,0.8344632194203534,0.8527642305933324
"dual(lg=0.5,lr=0.3)/GB",0.9184426705302702,0.8850442354888812,0.8436416495335697,0.8823761851842403,0.8436416495335697,0.8670783800319847
"dual(lg=0.5,lr=0.3)/LR",0.9081285824630164,0.8613188024881221,0.8481489877929512,0.8725321242480298,0.8481489877929512,0.859662962899644
