holdout_gen,method,auc,acc,f1,TP,TN,FP,FN,config
ZeroScope,dh-Kinetics-400-late-w0.6,0.6899689062866179,,,,,,,baseline
DynamicCrafter,latent-only,0.8258595202382556,0.7406996113270405,0.732837528604119,1281.0,1387.0,530.0,404.0,safe
DynamicCrafter,physics-only,0.8503014570553334,0.7709605774569683,0.7411358644493253,1181.0,1596.0,321.0,504.0,safe
DynamicCrafter,early-fusion,0.9056961839174402,0.823153803442532,0.8139059304703476,1393.0,1572.0,345.0,292.0,safe
DynamicCrafter,branch-norm,0.9084202102382402,0.8278734036646308,0.8181818181818182,1395.0,1587.0,330.0,290.0,safe
DynamicCrafter,late-avg,0.9045689899369842,0.8262076624097724,0.8124625524266027,1356.0,1620.0,297.0,329.0,safe
DynamicCrafter,stacking,0.8991695419245886,0.8200999444752916,0.8098591549295775,1380.0,1574.0,343.0,305.0,safe
DynamicCrafter,enriched-stacking,0.9006821675187957,0.8209328151027208,0.8091151228174016,1367.0,1590.0,327.0,318.0,safe
DynamicCrafter,late-w0.3,0.9010140411653346,0.818989450305386,0.7998772252915899,1303.0,1647.0,270.0,382.0,safe
DynamicCrafter,late-w0.4,0.906864552520088,0.8306496390893948,0.8149271844660194,1343.0,1649.0,268.0,342.0,safe
DynamicCrafter,late-w0.5,0.9045689899369842,0.8262076624097724,0.8124625524266027,1356.0,1620.0,297.0,329.0,safe
DynamicCrafter,late-w0.6,0.8945598417408507,0.8139922265408107,0.8020094562647754,1357.0,1575.0,342.0,328.0,safe
DynamicCrafter,late-w0.7,0.8797806290429686,0.7926152137701277,0.7820250948351327,1340.0,1515.0,402.0,345.0,safe
SVD,latent-only,0.8066338724875571,0.7320837927232635,0.7335526315789473,1338.0,1318.0,625.0,347.0,safe
SVD,physics-only,0.8239077812615017,0.7549614112458655,0.7260400616332819,1178.0,1561.0,382.0,507.0,safe
SVD,early-fusion,0.8806382494566969,0.8098125689084895,0.8019517795637199,1397.0,1541.0,402.0,288.0,safe
SVD,branch-norm,0.882918366318413,0.8106394707828004,0.8016170950043315,1388.0,1553.0,390.0,297.0,safe
SVD,late-avg,0.8773730854578026,0.7921719955898566,0.7844482561463694,1372.0,1502.0,441.0,313.0,safe
SVD,stacking,0.8703470267612108,0.7781146637265711,0.7744466237041188,1382.0,1441.0,502.0,303.0,safe
SVD,enriched-stacking,0.8703222860424166,0.7800441014332966,0.7754642656162071,1378.0,1452.0,491.0,307.0,safe
SVD,late-w0.3,0.8734472526348103,0.789691289966924,0.7710771077107711,1285.0,1580.0,363.0,400.0,safe
SVD,late-w0.4,0.8791116554748004,0.801819184123484,0.7885915907086151,1341.0,1568.0,375.0,344.0,safe
SVD,late-w0.5,0.8773730854578026,0.7921719955898566,0.7844482561463694,1372.0,1502.0,441.0,313.0,safe
SVD,late-w0.6,0.8692330835335245,0.7772877618522602,0.7726505346088914,1373.0,1447.0,496.0,312.0,safe
SVD,late-w0.7,0.8571363992480042,0.7676405733186329,0.7651156310950126,1373.0,1412.0,531.0,312.0,safe
ZeroScope,latent-only,0.874258634401997,0.7998717126363053,0.7883310719131614,1162.0,1332.0,227.0,397.0,safe
ZeroScope,physics-only,0.6930981974349933,0.6209108402822322,0.6703848298940324,1202.0,734.0,825.0,357.0,safe
ZeroScope,early-fusion,0.8627991743198158,0.7671584348941629,0.7832835820895523,1312.0,1080.0,479.0,247.0,safe
ZeroScope,branch-norm,0.8624918277493221,0.7677998717126363,0.7845238095238095,1318.0,1076.0,483.0,241.0,safe
ZeroScope,late-avg,0.8589645424095066,0.778383579217447,0.788231688630095,1286.0,1141.0,418.0,273.0,safe
ZeroScope,stacking,0.8597931849703825,0.7694034637588197,0.7863298662704309,1323.0,1076.0,483.0,236.0,safe
ZeroScope,enriched-stacking,0.8588081947565112,0.7652341244387428,0.7821428571428571,1314.0,1072.0,487.0,245.0,safe
ZeroScope,late-w0.3,0.8043449012767431,0.704939063502245,0.7339502602660497,1269.0,929.0,630.0,290.0,safe
ZeroScope,late-w0.4,0.8355580644325136,0.7437459910198846,0.7622731329961321,1281.0,1038.0,521.0,278.0,safe
ZeroScope,late-w0.5,0.8589645424095066,0.778383579217447,0.788231688630095,1286.0,1141.0,418.0,273.0,safe
ZeroScope,late-w0.6,0.8726379675463416,0.7985888389993585,0.8011399620012666,1265.0,1225.0,334.0,294.0,safe
ZeroScope,late-w0.7,0.8791124061451211,0.8056446440025657,0.8035019455252919,1239.0,1273.0,286.0,320.0,safe
DynamicCrafter,dh-GenVideo-Real-early-fusion,0.8700354260474942,,,,,,,safe
DynamicCrafter,dh-GenVideo-Real-branch-norm,0.874319606324842,,,,,,,safe
DynamicCrafter,dh-GenVideo-Real-late-avg,0.8668950539607564,,,,,,,safe
DynamicCrafter,dh-GenVideo-Real-late-w0.4,0.8870379448213153,,,,,,,safe
DynamicCrafter,dh-GenVideo-Real-late-w0.5,0.8668950539607564,,,,,,,safe
DynamicCrafter,dh-GenVideo-Real-late-w0.6,0.8382257290771166,,,,,,,safe
SVD,dh-GenVideo-Real-early-fusion,0.9023512037821361,,,,,,,safe
SVD,dh-GenVideo-Real-branch-norm,0.9049526134222545,,,,,,,safe
SVD,dh-GenVideo-Real-late-avg,0.9093619168919148,,,,,,,safe
SVD,dh-GenVideo-Real-late-w0.4,0.917324405772629,,,,,,,safe
SVD,dh-GenVideo-Real-late-w0.5,0.9093619168919148,,,,,,,safe
SVD,dh-GenVideo-Real-late-w0.6,0.8944956373250486,,,,,,,safe
ZeroScope,dh-GenVideo-Real-early-fusion,0.8902544642230387,,,,,,,safe
ZeroScope,dh-GenVideo-Real-branch-norm,0.8890735484298606,,,,,,,safe
ZeroScope,dh-GenVideo-Real-late-avg,0.86982676142532,,,,,,,safe
ZeroScope,dh-GenVideo-Real-late-w0.4,0.8445221134595171,,,,,,,safe
ZeroScope,dh-GenVideo-Real-late-w0.5,0.86982676142532,,,,,,,safe
ZeroScope,dh-GenVideo-Real-late-w0.6,0.8849116890870353,,,,,,,safe
DynamicCrafter,dh-Kinetics-400-early-fusion,0.8186240666827139,,,,,,,safe
DynamicCrafter,dh-Kinetics-400-branch-norm,0.8212976009920746,,,,,,,safe
DynamicCrafter,dh-Kinetics-400-late-avg,0.8132896426926807,,,,,,,safe
DynamicCrafter,dh-Kinetics-400-late-w0.4,0.8161765263733618,,,,,,,safe
DynamicCrafter,dh-Kinetics-400-late-w0.5,0.8132896426926807,,,,,,,safe
DynamicCrafter,dh-Kinetics-400-late-w0.6,0.8035815565905758,,,,,,,safe
SVD,dh-Kinetics-400-early-fusion,0.7862576148300608,,,,,,,safe
SVD,dh-Kinetics-400-branch-norm,0.7880992145698461,,,,,,,safe
SVD,dh-Kinetics-400-late-avg,0.7647141414853968,,,,,,,safe
SVD,dh-Kinetics-400-late-w0.4,0.7707610939996149,,,,,,,safe
SVD,dh-Kinetics-400-late-w0.5,0.7647141414853968,,,,,,,safe
SVD,dh-Kinetics-400-late-w0.6,0.7548737520887833,,,,,,,safe
ZeroScope,dh-Kinetics-400-early-fusion,0.7144783512953546,,,,,,,safe
ZeroScope,dh-Kinetics-400-branch-norm,0.7166127047459823,,,,,,,safe
ZeroScope,dh-Kinetics-400-late-avg,0.7212065118417038,,,,,,,safe
ZeroScope,dh-Kinetics-400-late-w0.4,0.7016278473476489,,,,,,,safe
ZeroScope,dh-Kinetics-400-late-w0.5,0.7212065118417038,,,,,,,safe
ZeroScope,dh-Kinetics-400-late-w0.6,0.7343688292802762,,,,,,,safe
