feature,DynamicCrafter,SVD,ZeroScope,mean_auc,std_auc,stability
ch3_mean,0.5897751134090053,0.5754628958546422,0.5124721147522349,0.5592367080052941,0.04112669789107694,0.5181100101142172
ch2_variance,0.509100629032045,0.6033132976540259,0.6115744838057502,0.5746628034972737,0.0569285590860613,0.5177342444112124
spatial_autocorrelation,0.583909251335486,0.634112352358678,0.5147920582611378,0.5776045539851006,0.059909473811667203,0.5176950801734334
valid_frac_objmedian,0.5361942591437042,0.5306683009277054,0.5146178706124503,0.5271601435612867,0.011207832600176302,0.5159523109611104
latent_std,0.6185599222974981,0.5590444153631666,0.8889286685720318,0.688844335410899,0.17581475812290062,0.5130295772879984
latent_skewness,0.5307313436408417,0.518696619477905,0.5826063673768482,0.5440114434985316,0.03396151878669859,0.510049924711833
ch2_mean,0.5235046147725546,0.5094752462588845,0.5406993944917629,0.5245597518410673,0.015638792916724806,0.5089209589243425
orient_phase_noise_objmedian,0.6327524010683888,0.5575153748933204,0.5148174949862375,0.5683617569826489,0.05971091626723075,0.5086508407154181
inter_obj_corr_median,0.5481604465046256,0.5031128458536649,0.5323429545472999,0.5278720823018634,0.022854170408885308,0.5050179118929782
object_latent_motion_consistency,0.5236286816657092,0.5387380331537424,0.5018114627398284,0.5213927258530933,0.01856455020813635,0.502828175644957
ch0_mean,0.5224567267057573,0.5686577954292266,0.5055240193730158,0.5322128471693333,0.032678048207532166,0.4995347989618011
gradient_magnitude_std,0.5409119994816531,0.5067524731753714,0.5035974887545571,0.5170873204705272,0.020692993479950718,0.49639432699057645
gradient_magnitude_mean,0.5830682789894548,0.5117759834068418,0.7418084230194624,0.612217561805253,0.11775394403178188,0.49446361777347114
ch0_variance,0.5378108946105136,0.5478373050450498,0.756157083005172,0.6139350942202452,0.12326983733665486,0.4906652568835903
spatial_variance,0.5360625573648171,0.5428125223945744,0.7516775551919844,0.6101842116504587,0.1225832990537288,0.4876009125967299
channel_correlation_std,0.5562568301275067,0.5446186448269347,0.8093317639106535,0.636735746288365,0.14958576407391722,0.48714998221444783
ch3_energy,0.5454489271541108,0.5115429271418985,0.6962681216050535,0.5844199919670209,0.0983356867411401,0.48608430522588075
ch1_variance,0.5486555791617969,0.5351107228480037,0.8080908196385219,0.6306190405494408,0.15384420711526003,0.4767748334341808
ch0_energy,0.5017831585150849,0.5654828046313609,0.7710155558577797,0.6127605063347419,0.14070503457051234,0.4720554717642296
channel_mutual_information,0.5561956994545803,0.5576582929959544,0.9136360383968951,0.6758300102824766,0.2059473599020719,0.46988265038040467
latent_kurtosis,0.5508357517349762,0.533903349902604,0.8528834970079815,0.6458741995485205,0.17947510547133802,0.4663990940771825
patch_similarity,0.5744345644896101,0.5004449394776445,0.8269838361981471,0.6339544467218006,0.17121295235338108,0.4627414943684195
