auc,acc,bacc,f1,TP,TN,FP,FN,FPR,FNR,threshold,config,holdout_gen,method
0.9127373467259019,0.8343439911797134,0.8330488659740283,0.8204362115327158,1373,1654,289,312,0.1487390633041688,0.18516320474777448,0.6,baseline,SVD,thresh-0.6
0.9127373467259019,0.8310363836824697,0.8262964823890371,0.8068074377560668,1280,1735,208,405,0.10705095213587236,0.2403560830860534,0.7,baseline,SVD,thresh-0.7
0.8064761666517861,0.6799230275817832,0.6799230275817832,0.7351380042462845,1385,735,824,174,0.5285439384220654,0.11161000641436819,0.5,baseline,ZeroScope,default-0.5
0.8064761666517861,0.6565105837075048,0.6565105837075048,0.7269946469538618,1426,621,938,133,0.6016677357280308,0.08531109685695959,0.42000000000000004,baseline,ZeroScope,optimal-thresh
0.8064761666517861,0.6779987171263631,0.6779987171263631,0.7352320675105485,1394,720,839,165,0.5381654906991661,0.10583707504810776,0.5,baseline,ZeroScope,platt-0.5
0.8064761666517861,0.658434894162925,0.658434894162925,0.7279693486590039,1425,628,931,134,0.5971776779987171,0.08595253367543297,0.38,baseline,ZeroScope,platt-optimal
0.8005795972073018,0.6587556125721616,0.6587556125721616,0.7278772378516624,1423,631,928,136,0.5952533675432969,0.08723540731237973,0.5,baseline,ZeroScope,isotonic-0.5
0.8064761666517861,0.6218729955099422,0.6218729955099422,0.7139043921378306,1471,468,1091,88,0.699807568954458,0.05644644002565747,0.3,baseline,ZeroScope,thresh-0.3
0.8064761666517861,0.650096215522771,0.650096215522771,0.724286075309578,1433,594,965,126,0.618986529826812,0.08082103912764593,0.4,baseline,ZeroScope,thresh-0.4
0.8064761666517861,0.6799230275817832,0.6799230275817832,0.7351380042462845,1385,735,824,174,0.5285439384220654,0.11161000641436819,0.5,baseline,ZeroScope,thresh-0.5
0.8064761666517861,0.7033354714560616,0.7033354714560616,0.7418364499023165,1329,864,695,230,0.44579858883899937,0.14753046824887747,0.6,baseline,ZeroScope,thresh-0.6
0.8064761666517861,0.7126363053239256,0.7126363053239255,0.7344398340248963,1239,983,576,320,0.3694676074406671,0.20525978191148173,0.7,baseline,ZeroScope,thresh-0.7
0.9084202102382402,0.8278734036646308,0.8278746000566538,0.8181818181818182,1395,1587,330,290,0.17214397496087636,0.17210682492581603,0.5,safe,DynamicCrafter,default-0.5
0.9084202102382402,0.823153803442532,0.8248411449021639,0.8182596291012839,1434,1531,386,251,0.20135628586332813,0.14896142433234422,0.45000000000000007,safe,DynamicCrafter,optimal-thresh
0.9084202102382402,0.825930038867296,0.8263361242297171,0.8173609088260996,1403,1572,345,282,0.17996870109546165,0.16735905044510385,0.5,safe,DynamicCrafter,platt-0.5
0.9084202102382402,0.8223209328151028,0.8233045265769803,0.8153491055972303,1413,1549,368,272,0.19196661450182578,0.16142433234421366,0.47,safe,DynamicCrafter,platt-optimal
0.907838657397733,0.8220433092726264,0.8229718789713774,0.8149003753970546,1411,1550,367,274,0.1914449660928534,0.1626112759643917,0.5,safe,DynamicCrafter,isotonic-0.5
0.9084202102382402,0.7892837312604108,0.7970427024173837,0.8029083354972735,1546,1297,620,139,0.32342201356285866,0.08249258160237388,0.3,safe,DynamicCrafter,thresh-0.3
0.9084202102382402,0.8112159911160466,0.8148107902276833,0.8118428334255673,1467,1455,462,218,0.24100156494522693,0.12937685459940654,0.4,safe,DynamicCrafter,thresh-0.4
0.9084202102382402,0.8278734036646308,0.8278746000566538,0.8181818181818182,1395,1587,330,290,0.17214397496087636,0.17210682492581603,0.5,safe,DynamicCrafter,thresh-0.5
0.9084202102382402,0.8334258745141588,0.8296794725933356,0.8125,1300,1702,215,385,0.11215440792905582,0.228486646884273,0.6,safe,DynamicCrafter,thresh-0.6
0.9084202102382402,0.8214880621876736,0.81393915753008,0.7850217318622534,1174,1785,132,511,0.06885758998435054,0.3032640949554896,0.7,safe,DynamicCrafter,thresh-0.7
0.882918366318413,0.8106394707828004,0.8115091685744,0.8016170950043315,1388,1553,390,297,0.2007205352547607,0.17626112759643917,0.5,safe,SVD,default-0.5
